choice.set,choice.ID,screen,RAM,processor,price,brand
1,1,2,2,1,0,0
1,2,2,1,2,0,3
1,3,1,1,0,2,2
2,1,2,0,2,1,0
2,2,2,2,0,1,3
2,3,1,2,1,0,2
3,1,0,1,1,1,0
3,2,0,0,2,1,3
3,3,2,0,0,0,2
4,1,1,2,0,1,0
4,2,1,1,1,1,3
4,3,0,1,2,0,2
5,1,1,0,1,2,0
5,2,1,2,2,2,3
5,3,0,2,0,1,2
6,1,2,1,0,2,0
6,2,2,0,1,2,3
6,3,1,0,2,1,2
7,1,0,2,2,2,0
7,2,0,1,0,2,3
7,3,2,1,1,1,2
8,1,0,0,0,0,1
8,2,0,2,1,0,0
8,3,2,2,2,2,3
9,1,1,1,2,0,1
9,2,1,0,0,0,0
9,3,0,0,1,2,3
10,1,2,2,1,0,1
10,2,2,1,2,0,0
10,3,1,1,0,2,3
11,1,2,0,2,1,1
11,2,2,2,0,1,0
11,3,1,2,1,0,3
12,1,0,1,1,1,1
12,2,0,0,2,1,0
12,3,2,0,0,0,3
13,1,1,2,0,1,1
13,2,1,1,1,1,0
13,3,0,1,2,0,3
14,1,1,0,1,2,1
14,2,1,2,2,2,0
14,3,0,2,0,1,3
15,1,2,1,0,2,1
15,2,2,0,1,2,0
15,3,1,0,2,1,3
16,1,0,2,2,2,1
16,2,0,1,0,2,0
16,3,2,1,1,1,3
17,1,0,0,0,0,2
17,2,0,2,1,0,1
17,3,2,2,2,2,0
18,1,1,1,2,0,2
18,2,1,0,0,0,1
18,3,0,0,1,2,0
19,1,2,2,1,0,2
19,2,2,1,2,0,1
19,3,1,1,0,2,0
20,1,2,0,2,1,2
20,2,2,2,0,1,1
20,3,1,2,1,0,0
21,1,0,1,1,1,2
21,2,0,0,2,1,1
21,3,2,0,0,0,0
22,1,1,2,0,1,2
22,2,1,1,1,1,1
22,3,0,1,2,0,0
23,1,1,0,1,2,2
23,2,1,2,2,2,1
23,3,0,2,0,1,0
24,1,2,1,0,2,2
24,2,2,0,1,2,1
24,3,1,0,2,1,0
25,1,0,2,2,2,2
25,2,0,1,0,2,1
25,3,2,1,1,1,0
26,1,0,0,0,0,3
26,2,0,2,1,0,2
26,3,2,2,2,2,1
27,1,1,1,2,0,3
27,2,1,0,0,0,2
27,3,0,0,1,2,1
28,1,2,2,1,0,3
28,2,2,1,2,0,2
28,3,1,1,0,2,1
29,1,2,0,2,1,3
29,2,2,2,0,1,2
29,3,1,2,1,0,1
30,1,0,1,1,1,3
30,2,0,0,2,1,2
30,3,2,0,0,0,1
31,1,1,2,0,1,3
31,2,1,1,1,1,2
31,3,0,1,2,0,1
32,1,1,0,1,2,3
32,2,1,2,2,2,2
32,3,0,2,0,1,1
33,1,2,1,0,2,3
33,2,2,0,1,2,2
33,3,1,0,2,1,1
34,1,0,2,2,2,3
34,2,0,1,0,2,2
34,3,2,1,1,1,1
35,1,0,0,0,0,0
35,2,0,2,1,0,3
35,3,2,2,2,2,2
36,1,1,1,2,0,0
36,2,1,0,0,0,3
36,3,0,0,1,2,2
